Morphometric_Parameters,Watershed_01,Watershed_02,Watershed_03,Watershed_04,Watershed_05,Watershed_06,Watershed_07,Watershed_08,Watershed_09,Watershed_10,Watershed_11,Watershed_12,Watershed_13,Watershed_14,Watershed_15,Watershed_16,Watershed_17
A,488.69,672.96,272.87,239.05,92.51,33.98,164.31,770.95,127.52,86.03,32.8,83.7,367.58,287.75,104.87,18.11,110.33
P,109.76,229.13,80.9,79.94,49.9,59.56,76.71,144.61,62.51,52.12,26.73,42.42,106.8,111.21,63.19,16.92,52.3
Lb,32.83,58.07,22.47,28.9,21.08,11.47,29.41,43.4,21.86,16.68,8.65,15.54,32.92,37.58,16.67,6.69,17.31
Bh,662,984,713,773,863,839,957,1399,974,823,495,667,927,896,675,608,899
Rf,0.02,0.016,0.031,0.026,0.04,0.073,0.032,0.032,0.044,0.049,0.056,0.042,0.028,0.023,0.04,0.09,0.051
D,1.209,1.016,1.903,1.604,2.455,4.388,1.952,1.934,2.673,2.96,3.433,2.575,1.689,1.43,2.429,5.452,3.116
Rn,0.99,1.42,1,1.09,1.34,2.23,1.42,2.09,1.46,1.3,0.77,1.04,1.37,1.42,0.98,0.78,1.28
Hf,0.739,0.712,0.756,0.76,0.777,0.673,0.725,0.792,0.703,0.762,0.506,0.626,0.736,0.682,0.806,0.772,0.813
Gn,0.826,1.404,0.528,0.684,0.548,0.508,0.73,1.085,0.546,0.439,0.226,0.404,0.812,0.996,0.405,0.143,0.412
U,6,6,6,5,4,4,4,6,4,4,4,4,5,5,4,4,4
Nu,637,806,332,313,136,71,204,923,155,114,47,111,444,367,133,25,142
Lu,739.23,978.34,386.25,340.79,144.95,90.58,245.18,1158.78,191.39,136.44,51.54,130.68,545.09,459.52,153.95,23.41,158.53
Rb,3.51,3.88,3.13,3.94,4.87,3.82,7.6,3.78,4.99,4.49,3.34,4.52,4.49,4.2,4.85,2.55,4.82
Dd,1.51,1.45,1.41,1.42,1.56,2.66,1.49,1.5,1.5,1.58,1.57,1.56,1.48,1.59,1.46,1.29,1.43
Fs,1.3,1.19,1.21,1.3,1.47,2.08,1.24,1.19,1.21,1.32,1.43,1.32,1.2,1.27,1.26,1.38,1.28
Lo,0.75,0.72,0.7,0.71,0.78,1.33,0.74,0.75,0.75,0.79,0.78,0.78,0.74,0.79,0.73,0.64,0.71
Re,0.75,0.5,0.82,0.6,0.51,0.57,0.48,0.72,0.58,0.62,0.74,0.66,0.65,0.5,0.69,0.71,0.68
Rc,0.5,0.16,0.52,0.46,0.46,0.12,0.35,0.46,0.4,0.39,0.57,0.58,0.4,0.29,0.32,0.79,0.5
Sf,0.453,0.199,0.54,0.286,0.208,0.258,0.189,0.409,0.266,0.309,0.438,0.346,0.339,0.203,0.377,0.404,0.368
Cc,1.401,2.492,1.381,1.458,1.463,2.883,1.688,1.469,1.561,1.585,1.317,1.308,1.571,1.849,1.741,1.122,1.405
