Morphometric  Parameters,Watershed_01,Watershed_02,Watershed_03,Watershed_04,Watershed_05,Watershed_06,Watershed_07,Watershed_08,Watershed_09,Watershed_10,Watershed_11,Watershed_12,Watershed_13,Watershed_14,Watershed_15,Watershed_16,Watershed_17
A,4,5,2,2,1,1,1,5,1,1,1,1,3,2,1,1,1
Bh,1,3,2,2,3,2,3,5,3,2,1,1,3,3,1,1,3
Rr,1,1,2,1,2,4,2,2,2,3,3,2,1,1,2,5,3
Sw,1,1,1,1,2,4,2,2,2,3,3,2,1,1,2,5,3
Rc,3,1,3,3,3,1,2,3,3,3,4,4,3,1,2,5,3
Dd,1,1,1,1,1,5,1,1,1,2,2,1,1,2,1,1,1
Fs,1,1,1,1,2,5,1,1,1,1,2,1,1,1,1,2,1
U,5,5,5,1,3,3,3,5,1,1,1,1,3,3,1,1,1
Nu,4,5,2,2,1,1,1,5,1,1,1,1,3,2,1,1,1
Lu,4,5,2,2,1,1,1,5,1,1,1,1,3,2,1,1,1
Re,2,5,1,4,5,4,5,2,4,3,2,3,3,5,2,2,3
Sf,2,5,1,4,5,5,5,2,4,4,2,3,3,1,3,2,3
Cc,5,3,5,5,5,1,4,5,4,4,5,5,4,3,4,5,5
Rn,1,3,1,2,2,5,3,5,3,2,1,1,2,3,1,1,2
Hi,2,2,1,1,1,3,2,1,2,1,5,4,2,3,1,1,1
Gn,3,1,4,3,4,4,3,2,4,4,5,4,3,2,4,5,4
Lo,5,5,5,5,4,1,5,5,5,4,4,4,5,4,5,5,5
